title,sort_option,imdb_id,category,listOrder
Academy Award for Best Costume Design,Release Date (Descending),tt0063518,Academy Awards,38
Academy Award for Best Costume Design,Release Date (Descending),tt0061439,Academy Awards,37
Academy Award for Best Costume Design,Release Date (Descending),tt0061184,Academy Awards,36
Academy Award for Best Costume Design,Release Date (Descending),tt0060665,Academy Awards,35
Academy Award for Best Costume Design,Release Date (Descending),tt0059084,Academy Awards,34
Academy Award for Best Costume Design,Release Date (Descending),tt0059113,Academy Awards,33
Academy Award for Best Costume Design,Release Date (Descending),tt0058404,Academy Awards,32
Academy Award for Best Costume Design,Release Date (Descending),tt0058385,Academy Awards,31
Academy Award for Best Costume Design,Release Date (Descending),tt0056801,Academy Awards,30
Academy Award for Best Costume Design,Release Date (Descending),tt0056937,Academy Awards,29
Academy Award for Best Costume Design,Release Date (Descending),tt0056687,Academy Awards,28
Academy Award for Best Costume Design,Release Date (Descending),tt0056700,Academy Awards,27
Academy Award for Best Costume Design,Release Date (Descending),tt0053779,Academy Awards,26
Academy Award for Best Costume Design,Release Date (Descending),tt0055614,Academy Awards,25
Academy Award for Best Costume Design,Release Date (Descending),tt0053810,Academy Awards,24
Academy Award for Best Costume Design,Release Date (Descending),tt0054331,Academy Awards,23
Academy Award for Best Costume Design,Release Date (Descending),tt0053291,Academy Awards,22
Academy Award for Best Costume Design,Release Date (Descending),tt0052618,Academy Awards,21
Academy Award for Best Costume Design,Release Date (Descending),tt0051658,Academy Awards,20
Academy Award for Best Costume Design,Release Date (Descending),tt0050631,Academy Awards,19
Academy Award for Best Costume Design,Release Date (Descending),tt0049777,Academy Awards,18
Academy Award for Best Costume Design,Release Date (Descending),tt0049408,Academy Awards,17
Academy Award for Best Costume Design,Release Date (Descending),tt0048191,Academy Awards,16
Academy Award for Best Costume Design,Release Date (Descending),tt0048316,Academy Awards,15
Academy Award for Best Costume Design,Release Date (Descending),tt0047437,Academy Awards,14
Academy Award for Best Costume Design,Release Date (Descending),tt0045935,Academy Awards,13
Academy Award for Best Costume Design,Release Date (Descending),tt0046250,Academy Awards,12
Academy Award for Best Costume Design,Release Date (Descending),tt0046247,Academy Awards,11
Academy Award for Best Costume Design,Release Date (Descending),tt0044391,Academy Awards,10
Academy Award for Best Costume Design,Release Date (Descending),tt0044926,Academy Awards,9
